name,sent,delivered,opens,clicks,bounces
Sweeps email verification,"20,975","19,146","14,361",0,"1,829"
Sweeps password reset,"37,589","35,572","55,567",0,"2,017"
Sweeps daily winner notification,430,403,"6,528",0,27
